task_label,project,started_at,ended_at,duration_minutes
foco,Portfolio,2025-01-03 04:00:00,2025-01-03 05:58:00,118
foco,Estudos,2025-01-03 04:30:00,2025-01-03 05:58:00,88
deep_work,Portfolio,2025-01-03 05:00:00,2025-01-03 06:22:00,82
deep_work,Trabalho,2025-01-03 05:30:00,2025-01-03 06:39:00,69
reuniao,Consultoria,2025-01-03 06:00:00,2025-01-03 06:31:00,31
foco,Trabalho,2025-01-03 06:30:00,2025-01-03 07:58:00,88
reuniao,Financeiro pessoal,2025-01-03 07:00:00,2025-01-03 08:32:00,92
codando,Trabalho,2025-01-03 07:30:00,2025-01-03 08:33:00,63
deep_work,Estudos,2025-01-03 08:00:00,2025-01-03 09:11:00,71
pesquisa,Estudos,2025-01-03 08:30:00,2025-01-03 08:58:00,28
pesquisa,Estudos,2025-01-03 09:00:00,2025-01-03 11:17:00,137
codando,Portfolio,2025-01-03 09:30:00,2025-01-03 09:59:00,29
deep_work,Estudos,2025-01-03 10:00:00,2025-01-03 11:05:00,65
foco,Trabalho,2025-01-03 10:30:00,2025-01-03 12:32:00,122
pesquisa,Consultoria,2025-01-03 11:00:00,2025-01-03 11:56:00,56
foco,Estudos,2025-01-03 11:30:00,2025-01-03 12:41:00,71
pesquisa,Trabalho,2025-01-03 12:00:00,2025-01-03 13:58:00,118
foco,Portfolio,2025-01-03 12:30:00,2025-01-03 14:10:00,100
pesquisa,Portfolio,2025-01-03 13:00:00,2025-01-03 13:32:00,32
foco,Consultoria,2025-01-03 13:30:00,2025-01-03 16:03:00,153
codando,Consultoria,2025-01-03 14:00:00,2025-01-03 16:00:00,120
reuniao,Trabalho,2025-01-03 14:30:00,2025-01-03 16:57:00,147
foco,Consultoria,2025-01-03 15:00:00,2025-01-03 16:07:00,67
reuniao,Consultoria,2025-01-03 15:30:00,2025-01-03 18:29:00,179
reuniao,Portfolio,2025-01-03 16:00:00,2025-01-03 16:30:00,30
deep_work,Trabalho,2025-01-03 16:30:00,2025-01-03 18:10:00,100
codando,Consultoria,2025-01-03 17:00:00,2025-01-03 17:24:00,24
reuniao,Trabalho,2025-01-03 17:30:00,2025-01-03 17:55:00,25
admin,Estudos,2025-01-03 18:00:00,2025-01-03 20:16:00,136
reuniao,Portfolio,2025-01-03 18:30:00,2025-01-03 21:18:00,168
foco,Portfolio,2025-01-03 19:00:00,2025-01-03 20:01:00,61
reuniao,Portfolio,2025-01-03 19:30:00,2025-01-03 21:10:00,100
foco,Financeiro pessoal,2025-01-03 20:00:00,2025-01-03 22:54:00,174
foco,Trabalho,2025-01-03 20:30:00,2025-01-03 20:52:00,22
admin,Estudos,2025-01-03 21:00:00,2025-01-03 22:19:00,79
reuniao,Consultoria,2025-01-03 21:30:00,2025-01-03 23:22:00,112
reuniao,Estudos,2025-01-03 22:00:00,2025-01-03 23:08:00,68
pesquisa,Trabalho,2025-01-03 22:30:00,2025-01-03 23:23:00,53
pesquisa,Portfolio,2025-01-03 23:00:00,2025-01-03 23:56:00,56
deep_work,Financeiro pessoal,2025-01-03 23:30:00,2025-01-04 00:31:00,61
foco,Trabalho,2025-01-04 00:00:00,2025-01-04 00:20:00,20
admin,Trabalho,2025-01-04 00:30:00,2025-01-04 03:01:00,151
pesquisa,Consultoria,2025-01-04 01:00:00,2025-01-04 03:02:00,122
reuniao,Estudos,2025-01-04 01:30:00,2025-01-04 04:11:00,161
deep_work,Estudos,2025-01-04 02:00:00,2025-01-04 04:09:00,129
admin,Consultoria,2025-01-04 02:30:00,2025-01-04 05:15:00,165
codando,Financeiro pessoal,2025-01-04 03:00:00,2025-01-04 03:53:00,53
reuniao,Portfolio,2025-01-04 03:30:00,2025-01-04 03:50:00,20
reuniao,Portfolio,2025-01-04 04:00:00,2025-01-04 05:12:00,72
codando,Financeiro pessoal,2025-01-04 04:30:00,2025-01-04 05:11:00,41
foco,Consultoria,2025-01-04 05:00:00,2025-01-04 07:49:00,169
foco,Trabalho,2025-01-04 05:30:00,2025-01-04 06:05:00,35
pesquisa,Estudos,2025-01-04 06:00:00,2025-01-04 08:55:00,175
pesquisa,Trabalho,2025-01-04 06:30:00,2025-01-04 08:48:00,138
reuniao,Estudos,2025-01-04 07:00:00,2025-01-04 08:45:00,105
reuniao,Trabalho,2025-01-04 07:30:00,2025-01-04 08:31:00,61
pesquisa,Consultoria,2025-01-04 08:00:00,2025-01-04 09:30:00,90
codando,Consultoria,2025-01-04 08:30:00,2025-01-04 10:46:00,136
pesquisa,Financeiro pessoal,2025-01-04 09:00:00,2025-01-04 09:39:00,39
reuniao,Trabalho,2025-01-04 09:30:00,2025-01-04 11:37:00,127
admin,Trabalho,2025-01-04 10:00:00,2025-01-04 12:29:00,149
reuniao,Financeiro pessoal,2025-01-04 10:30:00,2025-01-04 10:56:00,26
admin,Financeiro pessoal,2025-01-04 11:00:00,2025-01-04 11:28:00,28
admin,Consultoria,2025-01-04 11:30:00,2025-01-04 12:16:00,46
reuniao,Consultoria,2025-01-04 12:00:00,2025-01-04 14:29:00,149
deep_work,Trabalho,2025-01-04 12:30:00,2025-01-04 14:14:00,104
pesquisa,Consultoria,2025-01-04 13:00:00,2025-01-04 14:19:00,79
foco,Consultoria,2025-01-04 13:30:00,2025-01-04 15:41:00,131
reuniao,Trabalho,2025-01-04 14:00:00,2025-01-04 15:45:00,105
admin,Financeiro pessoal,2025-01-04 14:30:00,2025-01-04 16:59:00,149
reuniao,Trabalho,2025-01-04 15:00:00,2025-01-04 17:44:00,164
pesquisa,Portfolio,2025-01-04 15:30:00,2025-01-04 17:12:00,102
codando,Trabalho,2025-01-04 16:00:00,2025-01-04 18:03:00,123
admin,Portfolio,2025-01-04 16:30:00,2025-01-04 18:17:00,107
foco,Trabalho,2025-01-04 17:00:00,2025-01-04 17:39:00,39
foco,Portfolio,2025-01-04 17:30:00,2025-01-04 19:55:00,145
foco,Portfolio,2025-01-04 18:00:00,2025-01-04 19:57:00,117
codando,Trabalho,2025-01-04 18:30:00,2025-01-04 21:29:00,179
deep_work,Consultoria,2025-01-04 19:00:00,2025-01-04 20:10:00,70
admin,Estudos,2025-01-04 19:30:00,2025-01-04 21:17:00,107
codando,Consultoria,2025-01-04 20:00:00,2025-01-04 21:22:00,82
admin,Portfolio,2025-01-04 20:30:00,2025-01-04 22:18:00,108
codando,Trabalho,2025-01-04 21:00:00,2025-01-04 23:30:00,150
codando,Trabalho,2025-01-04 21:30:00,2025-01-04 23:18:00,108
deep_work,Trabalho,2025-01-04 22:00:00,2025-01-04 23:51:00,111
admin,Trabalho,2025-01-04 22:30:00,2025-01-05 00:05:00,95
codando,Estudos,2025-01-04 23:00:00,2025-01-04 23:45:00,45
deep_work,Financeiro pessoal,2025-01-04 23:30:00,2025-01-05 01:37:00,127
reuniao,Portfolio,2025-01-05 00:00:00,2025-01-05 00:27:00,27
pesquisa,Estudos,2025-01-05 00:30:00,2025-01-05 03:02:00,152
codando,Consultoria,2025-01-05 01:00:00,2025-01-05 03:38:00,158
foco,Financeiro pessoal,2025-01-05 01:30:00,2025-01-05 02:31:00,61
deep_work,Financeiro pessoal,2025-01-05 02:00:00,2025-01-05 04:18:00,138
deep_work,Trabalho,2025-01-05 02:30:00,2025-01-05 04:37:00,127
codando,Estudos,2025-01-05 03:00:00,2025-01-05 05:46:00,166
deep_work,Consultoria,2025-01-05 03:30:00,2025-01-05 05:49:00,139
reuniao,Trabalho,2025-01-05 04:00:00,2025-01-05 06:59:00,179
deep_work,Trabalho,2025-01-05 04:30:00,2025-01-05 05:35:00,65
pesquisa,Portfolio,2025-01-05 05:00:00,2025-01-05 06:51:00,111
pesquisa,Financeiro pessoal,2025-01-05 05:30:00,2025-01-05 08:15:00,165
foco,Consultoria,2025-01-05 06:00:00,2025-01-05 07:33:00,93
reuniao,Financeiro pessoal,2025-01-05 06:30:00,2025-01-05 08:25:00,115
pesquisa,Estudos,2025-01-05 07:00:00,2025-01-05 07:37:00,37
codando,Portfolio,2025-01-05 07:30:00,2025-01-05 10:09:00,159
admin,Trabalho,2025-01-05 08:00:00,2025-01-05 10:14:00,134
admin,Portfolio,2025-01-05 08:30:00,2025-01-05 10:01:00,91
admin,Trabalho,2025-01-05 09:00:00,2025-01-05 10:05:00,65
codando,Portfolio,2025-01-05 09:30:00,2025-01-05 10:27:00,57
deep_work,Trabalho,2025-01-05 10:00:00,2025-01-05 12:29:00,149
codando,Financeiro pessoal,2025-01-05 10:30:00,2025-01-05 10:58:00,28
deep_work,Financeiro pessoal,2025-01-05 11:00:00,2025-01-05 13:07:00,127
admin,Financeiro pessoal,2025-01-05 11:30:00,2025-01-05 14:02:00,152
foco,Financeiro pessoal,2025-01-05 12:00:00,2025-01-05 13:57:00,117
foco,Portfolio,2025-01-05 12:30:00,2025-01-05 13:08:00,38
deep_work,Trabalho,2025-01-05 13:00:00,2025-01-05 14:30:00,90
admin,Financeiro pessoal,2025-01-05 13:30:00,2025-01-05 14:28:00,58
codando,Portfolio,2025-01-05 14:00:00,2025-01-05 15:01:00,61
foco,Trabalho,2025-01-05 14:30:00,2025-01-05 17:14:00,164
deep_work,Portfolio,2025-01-05 15:00:00,2025-01-05 16:49:00,109
codando,Financeiro pessoal,2025-01-05 15:30:00,2025-01-05 17:36:00,126
admin,Estudos,2025-01-05 16:00:00,2025-01-05 18:47:00,167
reuniao,Portfolio,2025-01-05 16:30:00,2025-01-05 19:05:00,155
admin,Financeiro pessoal,2025-01-05 17:00:00,2025-01-05 18:55:00,115
admin,Consultoria,2025-01-05 17:30:00,2025-01-05 20:16:00,166
codando,Trabalho,2025-01-05 18:00:00,2025-01-05 18:51:00,51
codando,Financeiro pessoal,2025-01-05 18:30:00,2025-01-05 20:55:00,145
pesquisa,Consultoria,2025-01-05 19:00:00,2025-01-05 21:46:00,166
pesquisa,Portfolio,2025-01-05 19:30:00,2025-01-05 20:13:00,43
codando,Portfolio,2025-01-05 20:00:00,2025-01-05 20:43:00,43
codando,Consultoria,2025-01-05 20:30:00,2025-01-05 22:49:00,139
reuniao,Consultoria,2025-01-05 21:00:00,2025-01-05 21:37:00,37
reuniao,Trabalho,2025-01-05 21:30:00,2025-01-06 00:09:00,159
admin,Portfolio,2025-01-05 22:00:00,2025-01-05 23:00:00,60
foco,Consultoria,2025-01-05 22:30:00,2025-01-06 00:16:00,106
reuniao,Estudos,2025-01-05 23:00:00,2025-01-06 00:41:00,101
admin,Estudos,2025-01-05 23:30:00,2025-01-06 02:13:00,163
deep_work,Consultoria,2025-01-06 00:00:00,2025-01-06 02:50:00,170
pesquisa,Trabalho,2025-01-06 00:30:00,2025-01-06 01:22:00,52
foco,Portfolio,2025-01-06 01:00:00,2025-01-06 01:43:00,43
admin,Estudos,2025-01-06 01:30:00,2025-01-06 02:50:00,80
codando,Consultoria,2025-01-06 02:00:00,2025-01-06 03:14:00,74
deep_work,Consultoria,2025-01-06 02:30:00,2025-01-06 04:13:00,103
pesquisa,Financeiro pessoal,2025-01-06 03:00:00,2025-01-06 05:18:00,138
deep_work,Consultoria,2025-01-06 03:30:00,2025-01-06 05:01:00,91
admin,Trabalho,2025-01-06 04:00:00,2025-01-06 05:33:00,93
reuniao,Estudos,2025-01-06 04:30:00,2025-01-06 06:58:00,148
pesquisa,Financeiro pessoal,2025-01-06 05:00:00,2025-01-06 06:44:00,104
deep_work,Estudos,2025-01-06 05:30:00,2025-01-06 08:22:00,172
reuniao,Estudos,2025-01-06 06:00:00,2025-01-06 07:55:00,115
foco,Trabalho,2025-01-06 06:30:00,2025-01-06 07:42:00,72
admin,Consultoria,2025-01-06 07:00:00,2025-01-06 09:09:00,129
admin,Trabalho,2025-01-06 07:30:00,2025-01-06 08:49:00,79
pesquisa,Consultoria,2025-01-06 08:00:00,2025-01-06 09:10:00,70
deep_work,Financeiro pessoal,2025-01-06 08:30:00,2025-01-06 10:50:00,140
foco,Trabalho,2025-01-06 09:00:00,2025-01-06 10:32:00,92
codando,Trabalho,2025-01-06 09:30:00,2025-01-06 09:56:00,26
pesquisa,Portfolio,2025-01-06 10:00:00,2025-01-06 11:34:00,94
codando,Trabalho,2025-01-06 10:30:00,2025-01-06 11:08:00,38
pesquisa,Portfolio,2025-01-06 11:00:00,2025-01-06 13:42:00,162
deep_work,Consultoria,2025-01-06 11:30:00,2025-01-06 12:59:00,89
foco,Consultoria,2025-01-06 12:00:00,2025-01-06 13:15:00,75
deep_work,Consultoria,2025-01-06 12:30:00,2025-01-06 15:07:00,157
admin,Portfolio,2025-01-06 13:00:00,2025-01-06 14:39:00,99
codando,Consultoria,2025-01-06 13:30:00,2025-01-06 15:38:00,128
reuniao,Estudos,2025-01-06 14:00:00,2025-01-06 14:54:00,54
admin,Trabalho,2025-01-06 14:30:00,2025-01-06 16:01:00,91
admin,Portfolio,2025-01-06 15:00:00,2025-01-06 16:51:00,111
codando,Consultoria,2025-01-06 15:30:00,2025-01-06 15:52:00,22
pesquisa,Estudos,2025-01-06 16:00:00,2025-01-06 17:25:00,85
admin,Trabalho,2025-01-06 16:30:00,2025-01-06 17:41:00,71
foco,Trabalho,2025-01-06 17:00:00,2025-01-06 18:52:00,112
admin,Consultoria,2025-01-06 17:30:00,2025-01-06 18:36:00,66
foco,Estudos,2025-01-06 18:00:00,2025-01-06 18:22:00,22
deep_work,Portfolio,2025-01-06 18:30:00,2025-01-06 21:12:00,162
pesquisa,Consultoria,2025-01-06 19:00:00,2025-01-06 20:43:00,103
foco,Trabalho,2025-01-06 19:30:00,2025-01-06 20:23:00,53
admin,Trabalho,2025-01-06 20:00:00,2025-01-06 21:09:00,69
pesquisa,Trabalho,2025-01-06 20:30:00,2025-01-06 21:22:00,52
pesquisa,Consultoria,2025-01-06 21:00:00,2025-01-06 22:32:00,92
foco,Financeiro pessoal,2025-01-06 21:30:00,2025-01-06 21:52:00,22
foco,Financeiro pessoal,2025-01-06 22:00:00,2025-01-06 22:21:00,21
reuniao,Financeiro pessoal,2025-01-06 22:30:00,2025-01-07 01:01:00,151
reuniao,Estudos,2025-01-06 23:00:00,2025-01-06 23:35:00,35
pesquisa,Consultoria,2025-01-06 23:30:00,2025-01-07 00:22:00,52
codando,Trabalho,2025-01-07 00:00:00,2025-01-07 00:28:00,28
codando,Estudos,2025-01-07 00:30:00,2025-01-07 01:46:00,76
reuniao,Financeiro pessoal,2025-01-07 01:00:00,2025-01-07 01:59:00,59
admin,Portfolio,2025-01-07 01:30:00,2025-01-07 02:41:00,71
deep_work,Estudos,2025-01-07 02:00:00,2025-01-07 02:35:00,35
pesquisa,Estudos,2025-01-07 02:30:00,2025-01-07 05:05:00,155
deep_work,Consultoria,2025-01-07 03:00:00,2025-01-07 04:46:00,106
reuniao,Estudos,2025-01-07 03:30:00,2025-01-07 04:49:00,79
foco,Consultoria,2025-01-07 04:00:00,2025-01-07 04:22:00,22
pesquisa,Portfolio,2025-01-07 04:30:00,2025-01-07 05:04:00,34
reuniao,Trabalho,2025-01-07 05:00:00,2025-01-07 07:01:00,121
admin,Trabalho,2025-01-07 05:30:00,2025-01-07 06:12:00,42
pesquisa,Financeiro pessoal,2025-01-07 06:00:00,2025-01-07 08:30:00,150
pesquisa,Financeiro pessoal,2025-01-07 06:30:00,2025-01-07 09:27:00,177
codando,Portfolio,2025-01-07 07:00:00,2025-01-07 07:36:00,36
foco,Trabalho,2025-01-07 07:30:00,2025-01-07 09:43:00,133
pesquisa,Financeiro pessoal,2025-01-07 08:00:00,2025-01-07 09:17:00,77
foco,Estudos,2025-01-07 08:30:00,2025-01-07 10:39:00,129
reuniao,Consultoria,2025-01-07 09:00:00,2025-01-07 11:34:00,154
admin,Financeiro pessoal,2025-01-07 09:30:00,2025-01-07 11:07:00,97
admin,Portfolio,2025-01-07 10:00:00,2025-01-07 12:42:00,162
pesquisa,Trabalho,2025-01-07 10:30:00,2025-01-07 11:33:00,63
pesquisa,Portfolio,2025-01-07 11:00:00,2025-01-07 11:31:00,31
reuniao,Consultoria,2025-01-07 11:30:00,2025-01-07 11:57:00,27
codando,Consultoria,2025-01-07 12:00:00,2025-01-07 13:39:00,99
codando,Portfolio,2025-01-07 12:30:00,2025-01-07 13:30:00,60
codando,Financeiro pessoal,2025-01-07 13:00:00,2025-01-07 14:05:00,65
foco,Financeiro pessoal,2025-01-07 13:30:00,2025-01-07 14:18:00,48
codando,Trabalho,2025-01-07 14:00:00,2025-01-07 14:35:00,35
admin,Trabalho,2025-01-07 14:30:00,2025-01-07 17:02:00,152
foco,Estudos,2025-01-07 15:00:00,2025-01-07 15:24:00,24
reuniao,Estudos,2025-01-07 15:30:00,2025-01-07 16:19:00,49
admin,Trabalho,2025-01-07 16:00:00,2025-01-07 18:16:00,136
admin,Estudos,2025-01-07 16:30:00,2025-01-07 16:54:00,24
deep_work,Portfolio,2025-01-07 17:00:00,2025-01-07 19:40:00,160
reuniao,Financeiro pessoal,2025-01-07 17:30:00,2025-01-07 18:38:00,68
reuniao,Estudos,2025-01-07 18:00:00,2025-01-07 19:48:00,108
deep_work,Estudos,2025-01-07 18:30:00,2025-01-07 19:39:00,69
foco,Portfolio,2025-01-07 19:00:00,2025-01-07 19:33:00,33
codando,Consultoria,2025-01-07 19:30:00,2025-01-07 21:37:00,127
codando,Trabalho,2025-01-07 20:00:00,2025-01-07 21:05:00,65
codando,Portfolio,2025-01-07 20:30:00,2025-01-07 22:11:00,101
codando,Consultoria,2025-01-07 21:00:00,2025-01-07 23:25:00,145
codando,Portfolio,2025-01-07 21:30:00,2025-01-07 23:13:00,103
deep_work,Financeiro pessoal,2025-01-07 22:00:00,2025-01-07 22:53:00,53
reuniao,Portfolio,2025-01-07 22:30:00,2025-01-08 00:00:00,90
foco,Portfolio,2025-01-07 23:00:00,2025-01-08 00:19:00,79
admin,Financeiro pessoal,2025-01-07 23:30:00,2025-01-08 01:03:00,93
codando,Trabalho,2025-01-08 00:00:00,2025-01-08 01:40:00,100
deep_work,Consultoria,2025-01-08 00:30:00,2025-01-08 03:08:00,158
foco,Estudos,2025-01-08 01:00:00,2025-01-08 02:57:00,117
foco,Trabalho,2025-01-08 01:30:00,2025-01-08 03:20:00,110
foco,Portfolio,2025-01-08 02:00:00,2025-01-08 03:54:00,114
deep_work,Estudos,2025-01-08 02:30:00,2025-01-08 05:01:00,151
admin,Financeiro pessoal,2025-01-08 03:00:00,2025-01-08 04:19:00,79
codando,Trabalho,2025-01-08 03:30:00,2025-01-08 05:42:00,132
foco,Consultoria,2025-01-08 04:00:00,2025-01-08 05:40:00,100
deep_work,Trabalho,2025-01-08 04:30:00,2025-01-08 06:13:00,103
reuniao,Trabalho,2025-01-08 05:00:00,2025-01-08 05:44:00,44
deep_work,Estudos,2025-01-08 05:30:00,2025-01-08 06:22:00,52
deep_work,Financeiro pessoal,2025-01-08 06:00:00,2025-01-08 06:38:00,38
deep_work,Financeiro pessoal,2025-01-08 06:30:00,2025-01-08 07:46:00,76
foco,Trabalho,2025-01-08 07:00:00,2025-01-08 07:34:00,34
deep_work,Financeiro pessoal,2025-01-08 07:30:00,2025-01-08 08:30:00,60
reuniao,Estudos,2025-01-08 08:00:00,2025-01-08 09:19:00,79
foco,Estudos,2025-01-08 08:30:00,2025-01-08 10:38:00,128
reuniao,Consultoria,2025-01-08 09:00:00,2025-01-08 10:55:00,115
pesquisa,Financeiro pessoal,2025-01-08 09:30:00,2025-01-08 10:11:00,41
deep_work,Consultoria,2025-01-08 10:00:00,2025-01-08 12:59:00,179
codando,Portfolio,2025-01-08 10:30:00,2025-01-08 13:10:00,160
codando,Estudos,2025-01-08 11:00:00,2025-01-08 11:45:00,45
foco,Trabalho,2025-01-08 11:30:00,2025-01-08 14:02:00,152
