date,category,description,amount
2025-06-17,mercado,Compra,435.31
2025-06-18,lazer,Taxi/Uber,242.22
2025-06-19,mercado,Compra,447.21
2025-06-20,mercado,Farmácia,203.03
2025-06-21,alimentacao,Farmácia,242.31
2025-06-22,mercado,Assinatura mensal,123.41
2025-06-23,mercado,Restaurante,405.03
2025-06-24,lazer,Restaurante,202.45
2025-06-25,lazer,Farmácia,367.5
2025-06-26,transporte,Compra,40.48
2025-06-27,mercado,Restaurante,355.77
2025-06-28,mercado,Taxi/Uber,223.16
2025-06-29,saude,Taxi/Uber,7.41
2025-06-30,mercado,Compra,105.69
2025-07-01,alimentacao,Assinatura mensal,91.21
2025-07-02,saude,Taxi/Uber,339.54
2025-07-03,mercado,Compra,217.35
2025-07-04,alimentacao,Compra,76.07
2025-07-05,transporte,Farmácia,119.28
2025-07-06,saude,Restaurante,229.31
2025-07-07,assinaturas,Farmácia,13.74
2025-07-08,mercado,Restaurante,193.74
2025-07-09,saude,Assinatura mensal,306.74
2025-07-10,lazer,Assinatura mensal,235.4
2025-07-11,saude,Assinatura mensal,271.15
2025-07-12,lazer,Compra,150.35
2025-07-13,mercado,Compra,86.47
2025-07-14,alimentacao,Farmácia,365.33
2025-07-15,lazer,Taxi/Uber,408.01
2025-07-16,saude,Restaurante,232.28
2025-07-17,saude,Restaurante,140.74
2025-07-18,lazer,Assinatura mensal,232.49
2025-07-19,transporte,Restaurante,396.15
2025-07-20,transporte,Mercado,312.68
2025-07-21,transporte,Assinatura mensal,387.08
2025-07-22,lazer,Restaurante,151.13
2025-07-23,lazer,Farmácia,321.83
2025-07-24,saude,Restaurante,295.61
2025-07-25,mercado,Compra,259.37
2025-07-26,mercado,Farmácia,240.06
2025-07-27,alimentacao,Farmácia,250.19
2025-07-28,lazer,Farmácia,383.1
2025-07-29,mercado,Mercado,412.62
2025-07-30,mercado,Mercado,55.22
2025-07-31,transporte,Restaurante,258.1
2025-08-01,transporte,Assinatura mensal,413.69
2025-08-02,transporte,Restaurante,64.96
2025-08-03,assinaturas,Restaurante,188.72
2025-08-04,mercado,Restaurante,44.64
2025-08-05,transporte,Compra,55.5
2025-08-06,transporte,Farmácia,407.33
2025-08-07,lazer,Taxi/Uber,203.55
2025-08-08,saude,Assinatura mensal,311.49
2025-08-09,transporte,Assinatura mensal,66.82
2025-08-10,lazer,Farmácia,14.77
2025-08-11,alimentacao,Assinatura mensal,401.27
2025-08-12,transporte,Farmácia,260.67
2025-08-13,saude,Assinatura mensal,13.89
2025-08-14,lazer,Restaurante,446.59
2025-08-15,saude,Compra,224.03
2025-08-16,transporte,Assinatura mensal,216.77
2025-08-17,alimentacao,Assinatura mensal,281.31
2025-08-18,transporte,Taxi/Uber,8.52
2025-08-19,lazer,Compra,258.27
2025-08-20,alimentacao,Restaurante,285.12
2025-08-21,alimentacao,Compra,137.14
2025-08-22,alimentacao,Compra,328.45
2025-08-23,assinaturas,Assinatura mensal,172.96
2025-08-24,lazer,Mercado,324.41
2025-08-25,assinaturas,Assinatura mensal,69.0
2025-08-26,saude,Farmácia,411.6
2025-08-27,alimentacao,Taxi/Uber,396.36
2025-08-28,assinaturas,Compra,72.03
2025-08-29,transporte,Farmácia,422.61
2025-08-30,assinaturas,Restaurante,253.21
2025-08-31,mercado,Farmácia,317.23
2025-09-01,saude,Mercado,378.93
2025-09-02,alimentacao,Compra,42.19
2025-09-03,alimentacao,Assinatura mensal,80.33
2025-09-04,saude,Compra,134.22
2025-09-05,saude,Taxi/Uber,217.36
2025-09-06,lazer,Compra,158.99
2025-09-07,transporte,Farmácia,230.1
2025-09-08,saude,Farmácia,87.73
2025-09-09,saude,Assinatura mensal,308.56
2025-09-10,lazer,Assinatura mensal,29.8
2025-09-11,saude,Assinatura mensal,165.85
2025-09-12,assinaturas,Restaurante,84.67
2025-09-13,mercado,Taxi/Uber,329.82
2025-09-14,mercado,Restaurante,398.23
2025-09-15,mercado,Restaurante,40.06
2025-09-16,saude,Restaurante,354.34
2025-09-17,mercado,Compra,403.6
2025-09-18,transporte,Mercado,438.42
2025-09-19,assinaturas,Compra,262.83
2025-09-20,mercado,Assinatura mensal,150.69
2025-09-21,alimentacao,Taxi/Uber,148.28
2025-09-22,saude,Restaurante,173.64
2025-09-23,assinaturas,Compra,277.64
2025-09-24,transporte,Farmácia,223.15
2025-09-25,mercado,Restaurante,295.87
2025-09-26,transporte,Compra,22.49
2025-09-27,saude,Farmácia,52.12
2025-09-28,mercado,Compra,439.56
2025-09-29,alimentacao,Compra,447.95
2025-09-30,assinaturas,Restaurante,337.26
2025-10-01,alimentacao,Compra,119.1
2025-10-02,mercado,Assinatura mensal,429.25
2025-10-03,lazer,Farmácia,100.1
2025-10-04,assinaturas,Taxi/Uber,330.49
2025-10-05,transporte,Mercado,56.29
2025-10-06,mercado,Restaurante,293.76
2025-10-07,alimentacao,Farmácia,342.98
2025-10-08,saude,Assinatura mensal,387.54
2025-10-09,lazer,Farmácia,331.77
2025-10-10,saude,Taxi/Uber,415.95
2025-10-11,mercado,Restaurante,236.81
2025-10-12,transporte,Farmácia,306.46
2025-10-13,alimentacao,Assinatura mensal,169.45
2025-10-14,assinaturas,Restaurante,9.62
2025-10-15,lazer,Assinatura mensal,341.73
2025-10-16,mercado,Restaurante,392.09
2025-10-17,mercado,Mercado,82.4
2025-10-18,mercado,Taxi/Uber,17.75
2025-10-19,mercado,Mercado,78.2
2025-10-20,alimentacao,Compra,403.4
2025-10-21,assinaturas,Assinatura mensal,136.5
2025-10-22,transporte,Mercado,109.0
2025-10-23,lazer,Assinatura mensal,11.49
2025-10-24,mercado,Restaurante,137.19
2025-10-25,saude,Assinatura mensal,323.46
2025-10-26,mercado,Compra,431.79
2025-10-27,assinaturas,Assinatura mensal,144.17
2025-10-28,assinaturas,Restaurante,112.1
2025-10-29,alimentacao,Restaurante,400.19
2025-10-30,alimentacao,Mercado,384.36
2025-10-31,saude,Taxi/Uber,151.03
2025-11-01,saude,Farmácia,35.62
2025-11-02,alimentacao,Mercado,446.44
2025-11-03,lazer,Compra,307.91
2025-11-04,saude,Farmácia,417.33
2025-11-05,alimentacao,Assinatura mensal,157.13
2025-11-06,mercado,Mercado,293.22
2025-11-07,alimentacao,Farmácia,305.15
2025-11-08,lazer,Mercado,393.44
2025-11-09,alimentacao,Assinatura mensal,446.91
2025-11-10,alimentacao,Restaurante,53.36
2025-11-11,mercado,Mercado,285.85
2025-11-12,saude,Compra,154.72
2025-11-13,mercado,Farmácia,366.19
2025-11-14,mercado,Farmácia,340.6
2025-11-15,alimentacao,Farmácia,402.17
2025-11-16,mercado,Mercado,157.95
2025-11-17,assinaturas,Assinatura mensal,87.12
2025-11-18,transporte,Mercado,14.7
2025-11-19,transporte,Mercado,118.7
2025-11-20,mercado,Restaurante,168.39
2025-11-21,saude,Farmácia,426.0
2025-11-22,lazer,Assinatura mensal,223.66
2025-11-23,mercado,Taxi/Uber,252.62
2025-11-24,saude,Assinatura mensal,396.66
2025-11-25,mercado,Mercado,398.86
2025-11-26,alimentacao,Compra,239.92
2025-11-27,saude,Assinatura mensal,55.6
2025-11-28,lazer,Farmácia,125.38
2025-11-29,mercado,Compra,208.32
2025-11-30,assinaturas,Taxi/Uber,339.27
2025-12-01,saude,Taxi/Uber,321.7
2025-12-02,transporte,Compra,291.01
2025-12-03,saude,Taxi/Uber,396.71
2025-12-04,assinaturas,Compra,362.18
2025-12-05,assinaturas,Mercado,442.04
2025-12-06,assinaturas,Compra,400.68
2025-12-07,lazer,Mercado,92.07
2025-12-08,lazer,Farmácia,30.64
2025-12-09,saude,Farmácia,189.46
2025-12-10,lazer,Taxi/Uber,279.79
2025-12-11,transporte,Restaurante,291.18
2025-12-12,alimentacao,Restaurante,124.04
2025-12-13,saude,Compra,387.65
2025-12-14,mercado,Mercado,151.51
2025-12-15,mercado,Farmácia,414.01
2025-12-16,saude,Farmácia,214.86
2025-12-17,alimentacao,Farmácia,9.62
2025-12-18,mercado,Taxi/Uber,77.11
2025-12-19,saude,Farmácia,50.53
2025-12-20,saude,Restaurante,24.59
2025-12-21,assinaturas,Assinatura mensal,322.74
2025-12-22,transporte,Taxi/Uber,90.58
2025-12-23,mercado,Compra,378.19
2025-12-24,transporte,Assinatura mensal,122.69
2025-12-25,saude,Taxi/Uber,19.39
2025-12-26,alimentacao,Taxi/Uber,370.2
2025-12-27,saude,Mercado,212.43
2025-12-28,mercado,Assinatura mensal,271.78
2025-12-29,transporte,Assinatura mensal,154.62
2025-12-30,assinaturas,Restaurante,25.49
2025-12-31,assinaturas,Assinatura mensal,169.73
2026-01-01,saude,Farmácia,235.64
2026-01-02,alimentacao,Restaurante,10.2
2026-01-03,lazer,Farmácia,260.56
2026-01-04,mercado,Restaurante,402.4
2026-01-05,saude,Compra,101.94
2026-01-06,assinaturas,Restaurante,417.41
2026-01-07,assinaturas,Compra,48.44
2026-01-08,alimentacao,Restaurante,372.32
2026-01-09,assinaturas,Compra,378.94
2026-01-10,mercado,Farmácia,119.7
2026-01-11,alimentacao,Restaurante,431.24
2026-01-12,transporte,Mercado,190.39
2026-01-13,alimentacao,Restaurante,67.86
2026-01-14,mercado,Compra,268.31
2026-01-15,mercado,Taxi/Uber,448.49
2026-01-16,transporte,Farmácia,405.18
2026-01-17,saude,Mercado,128.98
2026-01-18,alimentacao,Taxi/Uber,261.76
2026-01-19,mercado,Taxi/Uber,56.34
2026-01-20,mercado,Farmácia,210.52
2026-01-21,transporte,Restaurante,237.77
2026-01-22,lazer,Assinatura mensal,145.3
2026-01-23,alimentacao,Mercado,220.46
2026-01-24,mercado,Restaurante,414.37
2026-01-25,assinaturas,Farmácia,227.56
2026-01-26,transporte,Assinatura mensal,374.79
2026-01-27,lazer,Farmácia,146.24
2026-01-28,lazer,Farmácia,437.27
2026-01-29,transporte,Taxi/Uber,46.59
2026-01-30,lazer,Restaurante,265.59
2026-01-31,mercado,Farmácia,356.5
2026-02-01,lazer,Restaurante,367.25
2026-02-02,alimentacao,Assinatura mensal,93.24
2026-02-03,assinaturas,Taxi/Uber,183.73
2026-02-04,mercado,Assinatura mensal,282.77
2026-02-05,transporte,Assinatura mensal,145.57
2026-02-06,assinaturas,Taxi/Uber,297.94
2026-02-07,saude,Restaurante,173.56
2026-02-08,mercado,Assinatura mensal,161.14
2026-02-09,assinaturas,Compra,53.09
2026-02-10,lazer,Restaurante,22.47
2026-02-11,saude,Farmácia,376.7
2026-02-12,transporte,Taxi/Uber,222.85
2026-02-13,transporte,Taxi/Uber,255.48
2026-02-14,alimentacao,Restaurante,170.64
2026-02-15,lazer,Compra,65.85
2026-02-16,alimentacao,Compra,205.06
2026-02-17,alimentacao,Compra,106.89
2026-02-18,lazer,Compra,377.77
2026-02-19,mercado,Mercado,444.12
2026-02-20,saude,Taxi/Uber,400.65
2026-02-21,alimentacao,Assinatura mensal,240.08
2026-02-22,assinaturas,Taxi/Uber,284.52
2026-02-23,saude,Taxi/Uber,426.91
2026-02-24,mercado,Taxi/Uber,244.71
2026-02-25,lazer,Compra,289.17
2026-02-26,transporte,Compra,285.01
2026-02-27,mercado,Mercado,320.11
2026-02-28,alimentacao,Restaurante,289.93
2026-03-01,assinaturas,Taxi/Uber,303.46
2026-03-02,saude,Farmácia,328.02
2026-03-03,lazer,Restaurante,365.05
2026-03-04,transporte,Mercado,184.36
2026-03-05,saude,Compra,336.9
2026-03-06,assinaturas,Taxi/Uber,49.59
2026-03-07,transporte,Compra,394.9
2026-03-08,lazer,Restaurante,134.07
2026-03-09,saude,Assinatura mensal,184.54
2026-03-10,mercado,Compra,362.61
2026-03-11,alimentacao,Compra,288.46
2026-03-12,lazer,Mercado,142.34
2026-03-13,assinaturas,Assinatura mensal,105.3
2026-03-14,mercado,Restaurante,431.18
2026-03-15,saude,Farmácia,44.06
2026-03-16,transporte,Farmácia,6.93
2026-03-17,mercado,Farmácia,304.46
2026-03-18,mercado,Taxi/Uber,278.44
2026-03-19,assinaturas,Farmácia,333.24
2026-03-20,alimentacao,Taxi/Uber,330.58
2026-03-21,mercado,Restaurante,389.15
2026-03-22,mercado,Restaurante,415.34
2026-03-23,alimentacao,Compra,349.89
2026-03-24,alimentacao,Farmácia,108.37
2026-03-25,transporte,Mercado,211.26
2026-03-26,saude,Restaurante,290.56
2026-03-27,transporte,Assinatura mensal,245.02
2026-03-28,alimentacao,Assinatura mensal,75.71
2026-03-29,lazer,Restaurante,267.23
2026-03-30,alimentacao,Compra,399.51
2026-03-31,transporte,Assinatura mensal,191.24
2026-04-01,assinaturas,Assinatura mensal,302.68
2026-04-02,assinaturas,Compra,279.09
2026-04-03,saude,Compra,172.78
2026-04-04,mercado,Compra,256.55
2026-04-05,assinaturas,Mercado,98.54
2026-04-06,transporte,Compra,248.02
2026-04-07,assinaturas,Compra,360.48
2026-04-08,lazer,Compra,342.73
2026-04-09,alimentacao,Restaurante,164.29
2026-04-10,alimentacao,Farmácia,54.88
2026-04-11,transporte,Restaurante,360.97
2026-04-12,mercado,Farmácia,122.94
2026-04-13,alimentacao,Mercado,28.6
2026-04-14,assinaturas,Mercado,203.11
2026-04-15,lazer,Assinatura mensal,334.06
2026-04-16,mercado,Restaurante,364.78
2026-04-17,mercado,Farmácia,442.08
2026-04-18,mercado,Mercado,89.29
2026-04-19,alimentacao,Mercado,135.74
2026-04-20,saude,Restaurante,276.22
2026-04-21,mercado,Assinatura mensal,366.05
2026-04-22,transporte,Compra,109.16
2026-04-23,assinaturas,Taxi/Uber,187.41
2026-04-24,saude,Assinatura mensal,186.74
2026-04-25,lazer,Taxi/Uber,348.96
2026-04-26,assinaturas,Assinatura mensal,112.21
2026-04-27,transporte,Assinatura mensal,436.1
2026-04-28,transporte,Compra,232.16
2026-04-29,saude,Mercado,130.52
2026-04-30,assinaturas,Farmácia,131.51
2026-05-01,alimentacao,Assinatura mensal,13.14
2026-05-02,transporte,Compra,313.13
2026-05-03,mercado,Taxi/Uber,350.3
2026-05-04,lazer,Restaurante,19.43
2026-05-05,lazer,Restaurante,265.74
2026-05-06,transporte,Mercado,352.84
2026-05-07,mercado,Restaurante,172.43
2026-05-08,assinaturas,Assinatura mensal,197.57
2026-05-09,lazer,Taxi/Uber,165.92
2026-05-10,mercado,Assinatura mensal,145.46
2026-05-11,mercado,Restaurante,223.56
2026-05-12,alimentacao,Farmácia,78.91
2026-05-13,transporte,Restaurante,201.11
2026-05-14,mercado,Farmácia,424.11
2026-05-15,assinaturas,Restaurante,17.19
2026-05-16,lazer,Mercado,78.31
2026-05-17,alimentacao,Taxi/Uber,351.08
2026-05-18,assinaturas,Farmácia,63.77
2026-05-19,lazer,Compra,125.72
2026-05-20,transporte,Mercado,207.4
2026-05-21,assinaturas,Assinatura mensal,424.71
2026-05-22,lazer,Restaurante,86.66
2026-05-23,alimentacao,Taxi/Uber,415.77
2026-05-24,lazer,Taxi/Uber,324.74
2026-05-25,mercado,Restaurante,303.66
2026-05-26,alimentacao,Compra,326.98
2026-05-27,assinaturas,Farmácia,18.9
2026-05-28,saude,Restaurante,49.01
2026-05-29,transporte,Taxi/Uber,154.0
2026-05-30,alimentacao,Compra,37.92
2026-05-31,alimentacao,Compra,444.48
2026-06-01,alimentacao,Assinatura mensal,263.28
2026-06-02,lazer,Compra,221.87
2026-06-03,mercado,Mercado,354.55
2026-06-04,saude,Taxi/Uber,439.75
2026-06-05,transporte,Mercado,430.03
2026-06-06,transporte,Compra,357.91
2026-06-07,mercado,Compra,172.84
2026-06-08,lazer,Mercado,34.35
2026-06-09,lazer,Assinatura mensal,48.78
2026-06-10,mercado,Compra,5.51
2026-06-11,mercado,Mercado,5.85
2026-06-12,assinaturas,Mercado,421.71
2026-06-13,lazer,Taxi/Uber,417.52
2026-06-14,alimentacao,Assinatura mensal,302.06
2026-06-15,transporte,Farmácia,328.37
2026-06-16,lazer,Mercado,233.38
2026-06-17,mercado,Taxi/Uber,110.84
2026-06-18,alimentacao,Farmácia,411.9
2026-06-19,assinaturas,Taxi/Uber,128.57
2026-06-20,saude,Taxi/Uber,334.15
2026-06-21,assinaturas,Restaurante,114.22
2026-06-22,alimentacao,Assinatura mensal,392.22
2026-06-23,alimentacao,Compra,294.8
2026-06-24,mercado,Assinatura mensal,291.0
2026-06-25,saude,Farmácia,48.33
2026-06-26,mercado,Restaurante,191.66
2026-06-27,transporte,Assinatura mensal,238.58
2026-06-28,saude,Compra,135.85
2026-06-29,saude,Assinatura mensal,397.03
2026-06-30,transporte,Assinatura mensal,377.76
2026-07-01,assinaturas,Assinatura mensal,224.66
2026-07-02,alimentacao,Mercado,156.31
2026-07-03,assinaturas,Mercado,361.69
2026-07-04,mercado,Assinatura mensal,92.62
2026-07-05,lazer,Compra,36.82
2026-07-06,mercado,Compra,25.34
2026-07-07,lazer,Compra,22.21
2026-07-08,alimentacao,Compra,222.56
2026-07-09,alimentacao,Restaurante,118.61
2026-07-10,saude,Restaurante,312.22
2026-07-11,alimentacao,Taxi/Uber,295.98
2026-07-12,transporte,Assinatura mensal,246.2
2026-07-13,transporte,Assinatura mensal,162.02
2026-07-14,lazer,Taxi/Uber,383.45
2026-07-15,assinaturas,Compra,320.82
2026-07-16,saude,Farmácia,125.83
2026-07-17,assinaturas,Farmácia,228.25
2026-07-18,lazer,Taxi/Uber,74.54
2026-07-19,transporte,Farmácia,151.31
2026-07-20,mercado,Mercado,448.73
2026-07-21,saude,Assinatura mensal,104.61
2026-07-22,lazer,Farmácia,315.74
2026-07-23,assinaturas,Restaurante,111.1
2026-07-24,lazer,Restaurante,422.47
2026-07-25,lazer,Mercado,143.01
2026-07-26,alimentacao,Assinatura mensal,159.28
2026-07-27,transporte,Mercado,269.27
2026-07-28,saude,Assinatura mensal,266.71
2026-07-29,alimentacao,Assinatura mensal,262.69
2026-07-30,transporte,Farmácia,260.1
2026-07-31,lazer,Restaurante,143.92
2026-08-01,transporte,Taxi/Uber,198.31
2026-08-02,assinaturas,Farmácia,269.08
2026-08-03,saude,Compra,303.72
2026-08-04,alimentacao,Mercado,117.64
2026-08-05,saude,Compra,317.16
2026-08-06,lazer,Assinatura mensal,415.86
2026-08-07,assinaturas,Farmácia,342.28
2026-08-08,transporte,Compra,42.48
2026-08-09,transporte,Compra,213.76
2026-08-10,assinaturas,Restaurante,198.69
2026-08-11,transporte,Compra,154.74
2026-08-12,alimentacao,Restaurante,223.64
2026-08-13,mercado,Restaurante,200.64
2026-08-14,transporte,Assinatura mensal,7.75
2026-08-15,lazer,Restaurante,110.27
2026-08-16,transporte,Assinatura mensal,100.13
2026-08-17,saude,Restaurante,160.42
2026-08-18,lazer,Restaurante,82.63
2026-08-19,transporte,Assinatura mensal,35.17
2026-08-20,transporte,Compra,92.49
2026-08-21,lazer,Mercado,385.11
2026-08-22,alimentacao,Farmácia,359.68
2026-08-23,mercado,Farmácia,201.73
2026-08-24,mercado,Assinatura mensal,395.63
2026-08-25,alimentacao,Compra,108.54
2026-08-26,transporte,Mercado,264.97
2026-08-27,mercado,Taxi/Uber,68.6
2026-08-28,alimentacao,Assinatura mensal,375.86
2026-08-29,alimentacao,Taxi/Uber,63.11
2026-08-30,mercado,Farmácia,19.18
2026-08-31,lazer,Farmácia,126.68
2026-09-01,assinaturas,Mercado,405.92
2026-09-02,lazer,Mercado,62.61
2026-09-03,transporte,Taxi/Uber,152.15
2026-09-04,lazer,Farmácia,145.8
2026-09-05,saude,Mercado,361.73
2026-09-06,assinaturas,Mercado,192.58
2026-09-07,assinaturas,Farmácia,277.15
2026-09-08,alimentacao,Farmácia,184.95
2026-09-09,saude,Compra,250.4
2026-09-10,transporte,Restaurante,32.79
2026-09-11,alimentacao,Mercado,171.44
2026-09-12,lazer,Taxi/Uber,385.52
2026-09-13,lazer,Assinatura mensal,312.53
2026-09-14,mercado,Assinatura mensal,441.91
2026-09-15,alimentacao,Farmácia,355.62
2026-09-16,saude,Restaurante,205.92
2026-09-17,alimentacao,Taxi/Uber,305.94
2026-09-18,alimentacao,Compra,350.28
2026-09-19,alimentacao,Mercado,125.01
2026-09-20,assinaturas,Compra,31.71
2026-09-21,mercado,Taxi/Uber,185.6
2026-09-22,transporte,Compra,69.38
2026-09-23,transporte,Farmácia,128.37
2026-09-24,transporte,Assinatura mensal,426.35
2026-09-25,assinaturas,Farmácia,381.95
2026-09-26,mercado,Mercado,268.65
2026-09-27,saude,Farmácia,183.56
