id,title,category,completed_at,duration_minutes
462,Codar app,estudos,2025-01-20 05:00:00,88
463,Codar app,estudos,2025-01-20 06:00:00,119
464,Academia,profissional,2025-01-20 07:00:00,22
465,Planejar semana,estudos,2025-01-20 08:00:00,20
466,Projeto pessoal,pessoal,2025-01-20 09:00:00,118
467,Codar app,pessoal,2025-01-20 10:00:00,99
468,Projeto pessoal,pessoal,2025-01-20 11:00:00,95
469,Codar app,profissional,2025-01-20 12:00:00,101
470,Limpar casa,profissional,2025-01-20 13:00:00,33
471,Planejar semana,saude,2025-01-20 14:00:00,102
472,Limpar casa,estudos,2025-01-20 15:00:00,82
473,Codar app,profissional,2025-01-20 16:00:00,115
474,Limpar casa,pessoal,2025-01-20 17:00:00,13
475,Codar app,pessoal,2025-01-20 18:00:00,55
476,Academia,profissional,2025-01-20 19:00:00,27
477,Limpar casa,profissional,2025-01-20 20:00:00,52
478,Reunião,profissional,2025-01-20 21:00:00,89
479,Planejar semana,saude,2025-01-20 22:00:00,42
480,Estudar IA,pessoal,2025-01-20 23:00:00,102
481,Escrever artigo,saude,2025-01-21 00:00:00,112
482,Limpar casa,saude,2025-01-21 01:00:00,19
483,Revisar código,estudos,2025-01-21 02:00:00,82
484,Planejar semana,pessoal,2025-01-21 03:00:00,68
485,Reunião,pessoal,2025-01-21 04:00:00,40
486,Reunião,profissional,2025-01-21 05:00:00,37
487,Codar app,profissional,2025-01-21 06:00:00,69
488,Codar app,estudos,2025-01-21 07:00:00,12
489,Escrever artigo,saude,2025-01-21 08:00:00,64
490,Academia,profissional,2025-01-21 09:00:00,23
491,Revisar código,profissional,2025-01-21 10:00:00,67
492,Estudar IA,pessoal,2025-01-21 11:00:00,98
493,Escrever artigo,pessoal,2025-01-21 12:00:00,24
494,Projeto pessoal,profissional,2025-01-21 13:00:00,11
495,Estudar IA,pessoal,2025-01-21 14:00:00,33
496,Limpar casa,estudos,2025-01-21 15:00:00,87
497,Planejar semana,profissional,2025-01-21 16:00:00,73
498,Projeto pessoal,pessoal,2025-01-21 17:00:00,80
499,Projeto pessoal,estudos,2025-01-21 18:00:00,109
500,Escrever artigo,pessoal,2025-01-21 19:00:00,33
501,Academia,pessoal,2025-01-21 20:00:00,36
502,Escrever artigo,pessoal,2025-01-21 21:00:00,46
503,Limpar casa,profissional,2025-01-21 22:00:00,111
504,Academia,saude,2025-01-21 23:00:00,103
505,Limpar casa,pessoal,2025-01-22 00:00:00,100
506,Academia,estudos,2025-01-22 01:00:00,48
507,Reunião,profissional,2025-01-22 02:00:00,72
508,Projeto pessoal,profissional,2025-01-22 03:00:00,88
509,Revisar código,estudos,2025-01-22 04:00:00,35
